title,artists,album,inLibrary,likeStatus,duration,duration_seconds,videoId,played_at,run_id
Dark Eyes (Ochi Chornye),Hot Club of Cowtown,Rendezvous in Rhythm,,LIKE,3:55,235,nnL5JF4imc0,2026-06-30T23:58:14Z,commit:5c97d16a
Deep Pockets,Yonder Mountain String Band,Old Hands,True,LIKE,3:16,196,7hVcUa2ZYGA,2026-06-30T23:54:58Z,commit:5c97d16a
Mean Mother Blues,The Seldom Scene with John Starling,Long Time... Seldom Scene,True,LIKE,3:07,187,UKy_Q-SvPHQ,2026-06-30T23:51:51Z,commit:5c97d16a
Houdini,Foster The People,Torches,False,INDIFFERENT,3:23,203,Mg5eb7BA-e4,2026-06-30T23:48:28Z,commit:5c97d16a
Feel Good Inc.,Gorillaz,Demon Days,False,INDIFFERENT,3:43,223,NxxjLD2pmlk,2026-06-30T23:44:45Z,commit:5c97d16a
Teardrop (feat. Elizabeth Fraser),Massive Attack,Mezzanine,False,INDIFFERENT,5:31,331,3h-JYx76QNM,2026-06-30T23:39:14Z,commit:5c97d16a
Them Changes,Thundercat,The Beyond / Where the Giants Roam,False,INDIFFERENT,3:08,188,35-MnoI1drY,2026-06-30T23:36:06Z,commit:5c97d16a
Casio,Jungle,For Ever,False,INDIFFERENT,3:55,235,02nFGcia31M,2026-06-30T23:32:11Z,commit:5c97d16a
Music Sounds Better With You,Stardust,Music Sounds Better With You,True,LIKE,6:44,404,Hf244LCkkLc,2026-06-30T23:25:27Z,commit:5c97d16a
One More Time,Daft Punk,Discovery,,INDIFFERENT,5:21,321,fa5IWHDbftI,2026-06-30T23:20:06Z,commit:5c97d16a
Giorgio by Moroder,Daft Punk,Random Access Memories,True,LIKE,9:05,545,ZFZM6jDTWd4,2026-06-30T23:11:01Z,commit:5c97d16a
Jamestown Ferry,Charley Crockett,Lil G.L.'s Honky Tonk Jubilee,False,INDIFFERENT,3:07,187,6bIkqAF4ZOs,2026-06-30T23:07:54Z,commit:5c97d16a
Way of the Triune God (Hallelujah Version),Tyler Childers,Can I Take My Hounds to Heaven?,False,INDIFFERENT,3:29,209,YYC4scj5rXY,2026-06-30T23:04:25Z,commit:5c97d16a
